date,CPI,YoY,MoM
2015-01-01,234.747,-0.22993097820542818,-0.6370316441765556
2015-02-01,235.342,-0.08703146293520536,0.25346436802173855
2015-03-01,235.976,-0.022031284423873476,0.26939517808124425
2015-04-01,236.222,-0.10403098939391064,0.10424788961589382
2015-05-01,237.001,0.03503321824429584,0.3297745341246827
2015-06-01,237.657,0.1795718097550525,0.27679208104607333
2015-07-01,238.034,0.22568611104094582,0.15863197801873063
2015-08-01,238.033,0.2413037985344868,-0.000420108051790713
2015-09-01,237.498,0.008842961634170088,-0.22475875193775918
2015-10-01,237.733,0.12761656067050708,0.09894820166906904
2015-11-01,238.017,0.4363182169185187,0.11946174910508756
2015-12-01,237.761,0.6387247515364791,-0.10755534268560574
2016-01-01,237.652,1.2375025026943876,-0.04584435630738959
2016-02-01,237.336,0.8472775790126619,-0.13296753235823022
2016-03-01,238.08,0.8916160965521946,0.31347962382444194
2016-04-01,238.992,1.1726257503534843,0.38306451612901693
2016-05-01,239.557,1.0784764621246223,0.23640958693178504
2016-06-01,240.222,1.0792865347959424,0.2775957287827202
2016-07-01,240.101,0.8683633430518256,-0.05037007434789409
2016-08-01,240.545,1.0553158595656864,0.18492217858316895
2016-09-01,241.176,1.5486446201652182,0.26232097944252075
2016-10-01,241.741,1.685924966243646,0.23426874979268764
2016-11-01,242.026,1.6843334719788938,0.11789477167711837
2016-12-01,242.637,2.0507989115119862,0.2524522158776188
2017-01-01,243.618,2.5103933482571117,0.4043076694815628
2017-02-01,244.006,2.8103616813294208,0.15926573570097524
2017-03-01,243.892,2.44119623655914,-0.04672016261895173
2017-04-01,244.193,2.176223471915395,0.12341528217407749
2017-05-01,244.004,1.8563431667619756,-0.07739779600562935
2017-06-01,244.163,1.640565809959127,0.0651628661825221
2017-07-01,244.243,1.7251073506566073,0.03276499715354486
2017-08-01,245.183,1.92812155729698,0.38486261632881824
2017-09-01,246.435,2.1805652303711787,0.5106389920997767
2017-10-01,246.626,2.020757753132485,0.07750522450138408
2017-11-01,247.284,2.172493864295566,0.2668007428251684
2017-12-01,247.805,2.129930719552253,0.21068892447551058
2018-01-01,248.859,2.151318868063945,0.42533443635115464
2018-02-01,249.529,2.263468931091861,0.26922876006090224
2018-03-01,249.577,2.3309497646499366,0.0192362410782021
2018-04-01,250.227,2.4709963021052994,0.2604406656061986
2018-05-01,250.792,2.781921607842497,0.2257949781598212
2018-06-01,251.018,2.8075506935940187,0.09011451720948305
2018-07-01,251.214,2.854124785561929,0.07808204989283585
2018-08-01,251.663,2.6429238568742575,0.17873207703393845
2018-09-01,252.182,2.332055105808828,0.2062281702117419
2018-10-01,252.772,2.492032470218053,0.2339580144498754
2018-11-01,252.594,2.147328577667773,-0.07041919199911595
2018-12-01,252.767,2.0023809043401064,0.06848935445813442
2019-01-01,252.561,1.4875893578291333,-0.08149798035343991
2019-02-01,253.319,1.5188615351321877,0.3001255142321968
2019-03-01,254.277,1.8831863513063984,0.37817929172307974
2019-04-01,255.233,2.000583470209061,0.3759679404743643
2019-05-01,255.296,1.7959105553606136,0.02468332856644384
2019-06-01,255.213,1.671194894390049,-0.03251128102280676
2019-07-01,255.802,1.826331335037068,0.23078761661827762
2019-08-01,256.036,1.7376412106666406,0.09147700174354512
2019-09-01,256.43,1.6844977040391562,0.1538846099767177
2019-10-01,257.155,1.7339736996186295,0.2827282299262768
2019-11-01,257.879,2.092290394862917,0.281542260504386
2019-12-01,258.63,2.3195274699624457,0.29122185210892493
2020-01-01,259.127,2.599767976845202,0.19216641534238743
2020-02-01,259.25,2.3413166797595197,0.04746707213065804
2020-03-01,258.076,1.4940399642909163,-0.4528447444551498
2020-04-01,256.032,0.3130472940411133,-0.7920147553434065
2020-05-01,255.802,0.1982013035848551,-0.08983252093487382
2020-06-01,257.042,0.7166562831830481,0.4847499237691677
2020-07-01,258.352,0.9968647625897997,0.5096443382793581
2020-08-01,259.316,1.2810698495523853,0.3731343283582156
2020-09-01,259.997,1.3910228912373812,0.2626139536318739
2020-10-01,260.319,1.2303863428671624,0.1238475828567287
2020-11-01,260.911,1.1757452138405844,0.2274132890799363
2020-12-01,262.045,1.3204191315779434,0.4346309661148906
2021-01-01,262.639,1.3553199782346148,0.226678623900467
2021-02-01,263.573,1.667502410800381,0.3556212139095738
2021-03-01,264.847,2.623645747764214,0.4833575517978028
2021-04-01,266.625,4.137373453318349,0.6713309948762847
2021-05-01,268.404,4.9264665639830785,0.6672292545710334
2021-06-01,270.71,5.317418943207719,0.8591526206762845
2021-07-01,271.965,5.269167647240969,0.46359572974770114
2021-08-01,272.752,5.181323173271246,0.28937547110843287
2021-09-01,273.942,5.363523425270289,0.4362937760309826
2021-10-01,276.528,6.226591220771449,0.9439954442911347
2021-11-01,278.824,6.865559520296194,0.830295666261649
2021-12-01,280.806,7.159457345112474,0.7108426821220482
2022-01-01,282.542,7.578082463000535,0.6182204083958309
2022-02-01,284.525,7.949220898953979,0.7018425579205845
2022-03-01,287.467,8.540780148538584,1.0340040418240992
2022-04-01,288.582,8.235161744022502,0.3878706077567129
2022-05-01,291.299,8.530051713089225,0.9415001628653163
2022-06-01,295.072,8.999298141923106,1.2952327333770608
2022-07-01,294.94,8.447778206754553,-0.04473484437697017
2022-08-01,295.162,8.216255059541266,0.07526954634839989
2022-09-01,296.421,8.205751582451759,0.4265454225137466
2022-10-01,297.979,7.757261470809462,0.5256037865063456
2022-11-01,298.708,7.131380368978291,0.24464811278648302
2022-12-01,298.808,6.410831677385809,0.03347750980888797
2023-01-01,300.456,6.340296309929161,0.5515247249069821
2023-02-01,301.476,5.957648712766894,0.33948398434380245
2023-03-01,301.643,4.931348641757127,0.05539412755906081
2023-04-01,302.858,4.946947488062325,0.4027940313549472
2023-05-01,303.316,4.125314539356473,0.15122598709624846
2023-06-01,304.099,3.0592533347792994,0.2581466193672721
2023-07-01,304.615,3.28032820234625,0.16968158395787025
2023-08-01,306.138,3.7186358677607556,0.49997537875678955
2023-09-01,307.374,3.6950823322234427,0.4037394900339164
2023-10-01,307.653,3.2465375076767167,0.09076890042749586
2023-11-01,308.087,3.139855644977696,0.14106802143973862
2023-12-01,308.735,3.322200208829762,0.21033019893732519
2024-01-01,309.794,3.1079425939238847,0.34301261599751776
2024-02-01,311.022,3.16642120765831,0.3963924414288167
2024-03-01,312.107,3.4690014354717524,0.34884992058441533
2024-04-01,313.016,3.3540471111874304,0.2912462713108077
2024-05-01,313.14,3.238866396761142,0.03961458839163434
2024-06-01,313.131,2.9700853998204435,-0.0028741138149102063
2024-07-01,313.566,2.9384633061405374,0.1389194937581939
2024-08-01,314.131,2.6109140322338353,0.1801853517281904
2024-09-01,314.851,2.432541464144644,0.22920373984103293
2024-10-01,315.564,2.5714034967967203,0.2264563237849071
2024-11-01,316.449,2.7141684004842848,0.2804502414724075
2024-12-01,317.603,2.872366268806581,0.36467171645351293
2025-01-01,319.086,2.999412512831112,0.46693513600313263
